29,1,XMN10LCDTN,Xiaomi Mi Note 10 / Mi Note 10 Pro / Mi Note 10 Lite Lcd + tactil negro compatib,32.37,587,413,0000004124,72.4,155,1.87
26,1,IPH6SPLCDBHQ,iPhone 6S Plus Lcd + tactil negro compatible HQ,82.35,436,472,0000001776,75.2,155,3.45
30,1,HP30LITPAMAZ,Huawei P30 Lite / New Edition / Nova 4E Lcd + tactil + marco azul compatible (48,73.74,182,289,0000004124,72.81,153.14,7.18
31,1,#HUPS19LCDTCNM,Huawei P Smart 2019 / P Smart Plus 2019 / P Smart 2020 Lcd + tactil negro compat,48.40,159,200,0000004124,69.84,151.03,2.3
32,1,#P8L2017LCBWH,Huawei P8 Lite 2017 / P9 Lite 2017 / GR3 2017 / Nova Lite Lcd + tactil blanco co,38.25,147,178,0000005059,69.27,143.43,2.57
33,1,#HUAP8LLCDOR,Huawei P8 Lite 2017 / Honor 8 Lite Lcd + tactil + marco oro compatible,64.83,147,178,0000005059,73.02,147.08,7.09
34,1,#P10LITELCDAZ,Huawei P10 Lite Lcd + tactil azul compatible,36.58,433,451,0000005059,68.61,143.1,2.33
35,1,#HUANOPLCDTB2,Huawei Nova Plus Lcd + tactil blanco ( Flex FHD-AB ) compatible,42.54,357,332,0000005059,72.41,148.55,2.55
36,1,#HUANOPLCDTN2,Huawei Nova Plus Lcd + tactil negro ( Flex FHD-AB ) compatible,40.45,357,332,0000005059,72.47,148.64,2.3
37,1,XMI9TLCDN,Xiaomi Mi 9T / Mi 9T Pro Lcd + tactil negro compatible,39.33,402,633,0000005059,71.66,153.19,1.85
38,1,#HUPS19LCDTCMM,Huawei P Smart 2019 / P Smart Plus 2019 Lcd + tactil + marco negro compatible HQ,74.49,326,412,0000005059,71.73,151.77,6.42
39,1,02352JEYC,Huawei P Smart 2019 / P Smart Plus 2019 Lcd + tactil + marco negro compatible,74.28,159,200,0000005059,71.84,153,6.76
40,1,2008370,iPad Pro 12.9,0,207,176,0000005059,0,0,0
41,1,HUAP20LLCDAZ,Huawei P20 Lite 2018 / Nova 3e Lcd + tactil + marco azul compatible,62.13,160,213,0000005059,71.42,148.55,6.96
42,1,02353KFUC,Huawei P40 Lite Lcd + tactil + marco negro compatible,90.38,178,241,0000005059,76.37,158,7.99
43,1,#HUPS19LCDTCNM,Huawei P Smart 2019 / P Smart Plus 2019 / P Smart 2020 Lcd + tactil negro compat,48.04,159,200,0000005059,69.89,151.08,2.34
44,1,A1901,iPhone X Lcd + tactil negro (A1901) compatible (TFT Incell),47.81,457,508,0000005059,68.56,141.28,2.43
45,1,A1901HQ,iPhone X Lcd + tactil negro (A1901) compatible HQ (Soft OLED),42.04,586,437,0000005059,68.6,141.27,2.11
46,1,IPHOXSMAXLCDNC,iPhone XS Max Lcd + tactil negro (A2101) compatible (TFT Incell),54.96,566,616,0000005059,75,155,2.34
47,1,IPHOXSMAXLCDNE,iPhone XS Max Lcd + tactil negro (A2101) compatible HQ (Hard OLED),54.37,653,489,0000005059,75.02,155,2.08
48,1,IPH7LCDBHQ,iPhone 7 Lcd + tactil negro compatible HQ,52.91,579,612,0000005059,64.55,135.85,3.17
49,1,IPHOXRLCDNEG,iPhone XR Lcd + tactil negro (A2105) compatible HQ (TFT Incell),63,570,566,0000005059,72.52,147.88,2.82
50,1,IPHOXRLCDNEGCO,iPhone XR Lcd + tactil negro (A2105) compatible (TFT Incell),61.04,543,553,0000005059,72.56,147.63,2.42
51,1,IPHO11PROLCDNE,iPhone 11 Pro Lcd + tactil negro compatible (Hard OLED),42.13,649,724,0000005059,68.53,141.26,2.64
52,1,IPH8LCDTBHQ,iPhone 8 / SE 2020 Lcd + tactil negro compatible HQ,52.58,458,505,0000005059,64.53,136.01,2.99
53,1,IPHO11PROLCDHQ,iPhone 11 Pro Lcd + tactil negro compatible HQ (Soft OLED),44.38,649,724,0000005059,68.51,141.19,2.38
54,1,IPH6LCDBHQ,iPhone 6 Lcd + tactil negro compatible HQ,49.72,409,444,0000005059,64.74,135.87,2.9
55,1,IPHO11PMLCDHQ,iPhone 11 Pro Max Lcd + tactil negro compatible HQ (Soft OLED),51.81,736,509,0000005059,75.04,155,2.32
